15:09:12: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:21: 11,1,1.61,580.00
15:09:21: 12,1,1.40,612.00
15:09:21: 13,1,1.61,388.00
15:09:21: 14,1,1.37,364.00
15:09:21: 15,1,1.47,420.00
15:09:21: 16,1,1.37,372.00
15:09:21: 

15:09:22: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:22: 1,1,1.40,892.00
15:09:22: 2,1,1.37,892.00
15:09:22: 3,1,1.40,324.00
15:09:22: 4,1,1.37,324.00
15:09:22: 5,1,1.61,756.00
15:09:22: 6,1,1.61,732.00
15:09:22: 7,1,1.55,924.00
15:09:22: 8,1,1.37,920.00
15:09:22: 9,1,1.53,512.00
15:09:22: 10,1,1.60,476.00
15:09:22: 11,1,1.61,612.00
15:09:22: 12,1,1.45,580.00
15:09:22: 13,1,1.37,372.00
15:09:22: 14,1,1.61,356.00
15:09:22: 15,1,1.61,420.00
15:09:22: 16,1,1.61,388.00
15:09:22: 

15:09:22: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:22: 1,1,1.61,836.00
15:09:22: 2,1,1.61,956.00
15:09:22: 3,1,1.61,356.00
15:09:22: 4,1,1.40,356.00
15:09:22: 5,1,1.61,756.00
15:09:22: 6,1,1.61,756.00
15:09:22: 7,1,1.61,924.00
15:09:22: 8,1,1.61,920.00
15:09:22: 9,1,1.55,492.00
15:09:22: 10,1,1.61,476.00
15:09:22: 11,1,1.61,612.00
15:09:22: 12,1,1.55,580.00
15:09:22: 13,1,1.40,364.00
15:09:22: 14,1,1.61,372.00
15:09:22: 15,1,1.60,388.00
15:09:22: 16,1,1.61,416.00
15:09:22: 

15:09:23: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:23: 1,1,1.60,892.00
15:09:23: 2,1,1.55,968.00
15:09:23: 3,1,1.53,356.00
15:09:23: 4,1,1.61,356.00
15:09:23: 5,1,1.37,732.00
15:09:23: 6,1,1.40,776.00
15:09:23: 7,1,1.60,892.00
15:09:23: 8,1,1.61,952.00
15:09:23: 9,1,1.61,464.00
15:09:23: 10,1,1.61,520.00
15:09:23: 11,1,1.60,556.00
15:09:23: 12,1,1.61,636.00
15:09:23: 13,1,1.60,356.00
15:09:23: 14,1,1.61,388.00
15:09:23: 15,1,1.60,388.00
15:09:23: 16,1,1.55,420.00
15:09:23: 

15:09:23: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:23: 1,1,1.61,844.00
15:09:23: 2,1,1.61,968.00
15:09:23: 3,1,1.53,356.00
15:09:23: 4,1,1.47,324.00
15:09:23: 5,1,1.61,700.00
15:09:23: 6,1,1.55,788.00
15:09:23: 7,1,1.45,888.00
15:09:23: 8,1,1.61,980.00
15:09:23: 9,1,1.55,448.00
15:09:23: 10,1,1.50,548.00
15:09:23: 11,1,1.61,532.00
15:09:23: 12,1,1.50,668.00
15:09:23: 13,1,1.61,356.00
15:09:23: 14,1,1.61,372.00
15:09:23: 15,1,1.53,372.00
15:09:23: 16,1,1.61,420.00
15:09:23: 

15:09:24: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:24: 1,1,1.40,864.00
15:09:24: 2,1,1.61,948.00
15:09:24: 3,1,1.50,324.00
15:09:24: 4,1,1.40,324.00
15:09:24: 5,1,1.40,700.00
15:09:24: 6,1,1.61,788.00
15:09:24: 7,1,1.61,892.00
15:09:24: 8,1,1.60,976.00
15:09:24: 9,1,1.61,464.00
15:09:24: 10,1,1.60,532.00
15:09:24: 11,1,1.61,576.00
15:09:24: 12,1,1.60,644.00
15:09:24: 13,1,1.61,364.00
15:09:24: 14,1,1.55,356.00
15:09:24: 15,1,1.61,388.00
15:09:24: 16,1,1.61,388.00
15:09:24: 

15:09:24: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:24: 1,1,1.40,980.00
15:09:24: 2,1,1.37,892.00
15:09:24: 3,1,1.61,356.00
15:09:24: 4,1,1.50,324.00
15:09:24: 5,1,1.36,732.00
15:09:24: 6,1,1.60,760.00
15:09:24: 7,1,1.55,892.00
15:09:24: 8,1,1.60,924.00
15:09:24: 9,1,1.40,492.00
15:09:24: 10,1,1.32,492.00
15:09:24: 11,1,1.37,580.00
15:09:24: 12,1,1.55,580.00
15:09:24: 13,1,1.55,372.00
15:09:24: 14,1,1.37,356.00
15:09:24: 15,1,1.40,420.00
15:09:24: 16,1,1.60,388.00
15:09:24: 

15:09:24: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:24: 1,1,1.61,968.00
15:09:24: 2,1,1.40,976.00
15:09:24: 3,1,1.61,356.00
15:09:24: 4,1,1.37,324.00
15:09:24: 5,1,1.61,756.00
15:09:24: 6,1,1.61,732.00
15:09:24: 7,1,1.61,924.00
15:09:24: 8,1,1.40,924.00
15:09:24: 9,1,1.51,520.00
15:09:24: 10,1,1.53,476.00
15:09:24: 11,1,1.61,612.00
15:09:24: 12,1,1.37,576.00
15:09:24: 13,1,1.40,372.00
15:09:24: 14,1,1.60,356.00
15:09:24: 15,1,1.40,388.00
15:09:24: 16,1,1.40,408.00
15:09:24: 

15:09:25: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:25: 1,1,1.51,968.00
15:09:25: 2,1,1.61,968.00
15:09:25: 3,1,1.60,356.00
15:09:25: 4,1,1.61,356.00
15:09:25: 5,1,1.61,732.00
15:09:25: 6,1,1.61,760.00
15:09:25: 7,1,1.50,920.00
15:09:25: 8,1,1.61,924.00
15:09:25: 9,1,1.61,476.00
15:09:25: 10,1,1.40,492.00
15:09:25: 11,1,1.37,580.00
15:09:25: 12,1,1.61,608.00
15:09:25: 13,1,1.53,356.00
15:09:25: 14,1,1.53,372.00
15:09:25: 15,1,1.37,388.00
15:09:25: 16,1,1.53,388.00
15:09:25: 

15:09:25: CHANNEL,STATE,VOLTAGE,CURRENT
15:09:25: 1,1,1.37,968.00
15:09:25: 2,1,1.51,980.00
15:09:25: 3,1,1.53,324.00
15:09:25: 4,1,1.40,352.00
15:09:25: 5,1,1.55,700.00
15:09:25: 6,1,1.40,788.00
15:09:25: 7,1,1.55,892.00
15:09:25: 8,1,1.55,968.00
15:09:25: 9,1,1.37,444.00
15:09:25: 10,1,1.61,532.00
15:09:25: 11,1,1.51,548.00
15:09:25: 12,1,1.55,640.00
15:09:25: 13,1,1.61,356.00
15:09:25: 14,1,1.40,372.00
15:09:25: 15,1,1.37,372.00
15:09:25: 16,1,1.61,420.00
15:09:25: 

